id,Name,titleProject_id,class,score,login,password
87,Аузин Игорь Алексиевич,435,8х,5,Аузин_ИА.,UxAH7Om9
88,Калыгин Степан Тимофеевич,353,8и,2,Калыгин_СТ.,l0yTCkb5
89,Дурныгина Полина Игоревна,72,8и,2,Дурныгина_ПИ.,YlBXXpq4
90,Антюфеева Александра Вадимовна,347,8и,2,Антюфеева_АВ.,gdR27Q2p
91,Лощинский Борис Романович,210,10б,3,Лощинский_БР.,K3rJm9WO
92,Ходорков Евгений Виталиевич,344,9г,5,Ходорков_ЕВ.,XXazFL1U
93,Кафорин Федор Данилович,427,10д,3,Кафорин_ФД.,7pIdWhbp
94,Косынская Алиса Дмитриевна,40,9в,3,Косынская_АД.,6Uxm3rdT
95,Беремцев Артём Антонович,434,11т,2,Беремцев_АА.,mIeV1Ex3
96,Влянская Мария Андреевна,490,7т,4,Влянская_МА.,m475uvaX
97,Мыгеева Лиза Василевна,280,8в,5,Мыгеева_ЛВ.,7qPYbRE2
98,Акутникова Мария Алексеевна,173,11в,2,Акутникова_МА.,CVbFw3tf
99,Карябкин Константин Максимович,89,7и,2,Карябкин_КМ.,vAdosFD8
100,Прилепина Яна Максимовна,30,10в,5,Прилепина_ЯМ.,XLdgnGpB
101,Ведищев Никита Георгиевич,365,7и,5,Ведищев_НГ.,fLTKBKXV
102,Самчева Вероника Борисовна,287,10г,3,Самчева_ВБ.,QerF9Xe8
103,Пирцхалова Карина Леонидовна,452,10г,5,Пирцхалова_КЛ.,dcLvMVtl
104,Павлочев Денис Борисович,432,11д,5,Павлочев_ДБ.,rZXFJgS3
105,Арашкова Екатерина Евгеньевна,356,8х,None,Арашкова_ЕЕ.,fcTFg1HR
106,Байсарова Людмила Василевна,215,11и,2,Байсарова_ЛВ.,vHRMUaxj
107,Кудекина Зинаида Игоревна,250,10и,3,Кудекина_ЗИ.,DRRyEabw
108,Дерналов Виталий Викторович,1,9г,4,Дерналов_ВВ.,RfZRE6NV
109,Сазинова Галина Романовна,61,9и,3,Сазинова_ГР.,PFpa5sQz
110,Остаченова Марина Эдуардовна,229,9т,5,Остаченова_МЭ.,kk0s8Nf6
111,Битюкова Яна Егоровна,488,9и,4,Битюкова_ЯЕ.,pGwcrazW
112,Иваницкий Константин Борисович,232,8д,5,Иваницкий_КБ.,i4mWw1rd
113,Белянский Владислав Игоревич,74,11б,5,Белянский_ВИ.,l2LMuDW5
114,Баранкин Артём Алексеевич,382,9т,2,Баранкин_АА.,F1iDrfoS
115,Шкабанова Софья Вадимовна,499,9х,4,Шкабанова_СВ.,Br4ZhBz4
116,Полозлов Денис Адамович,155,8т,3,Полозлов_ДА.,5c6oyDEV
117,Жунина Светлана Михайловна,162,8в,3,Жунина_СМ.,VoHkvdTB
118,Пантыкин Борис Игоревич,245,9х,2,Пантыкин_БИ.,1X1RVQEu
119,Доутова Марина Богдановна,189,11х,2,Доутова_МБ.,h42T9fLS
120,Трещалова Яна Андреевна,330,8б,3,Трещалова_ЯА.,dcfy5D9M
121,Ивашечкин Александр Данилович,390,10т,4,Ивашечкин_АД.,E8OxbZpO
122,Мазьянова Инна Богдановна,416,11в,4,Мазьянова_ИБ.,4gUXhiYG
123,Корогев Николай Евгеньевич,184,8б,5,Корогев_НЕ.,uBW1ZXo4
124,Заидова Галина Максимовна,88,9т,4,Заидова_ГМ.,KS9WQWBs
125,Рамхин Кирилл Алексиевич,459,9х,4,Рамхин_КА.,7bxv6EQl
126,Кизбабаев Эдуард Фёдорович,415,11т,2,Кизбабаев_ЭФ.,FFtPI3oA
127,Соурчаков Ярослав Валериевич,268,8б,2,Соурчаков_ЯВ.,VgE0bCVl
128,Мотяшева Алена Михайловна,404,7т,2,Мотяшева_АМ.,Qwh9vSEM
129,Горшкова Наталия Яковлевна,340,11а,2,Горшкова_НЯ.,kFYRFkjK
130,Зябрицкий Игорь Виталиевич,332,7а,5,Зябрицкий_ИВ.,lecDYUi7
131,Шельдяев Игорь Юриевич,97,7д,5,Шельдяев_ИЮ.,p3heF5e2
132,Шмелькин Максим Викторович,483,9т,5,Шмелькин_МВ.,P2J9Y8Wr
133,Жалкин Алексей Алексеевич,43,7а,3,Жалкин_АА.,iAuPoRui
134,Худасов Денис Максимович,70,10д,2,Худасов_ДМ.,GuUD4kyP
135,Швичкова Наталья Эдуардовна,398,7г,4,Швичкова_НЭ.,FaCtPtGq
136,Едская Жанна Валерьевна,436,11в,4,Едская_ЖВ.,My2eTdFq
137,Поморзина Полина Евгеньевна,122,7д,4,Поморзина_ПЕ.,WpKKGPbH
138,Будачева Кира Олеговна,55,11х,4,Будачева_КО.,WihnSdxY
139,Молкаев Василий Валериевич,216,8д,2,Молкаев_ВВ.,K2ow7k6S
140,Яцынин Константин Тимофеевич,285,7г,2,Яцынин_КТ.,gDdI9TaE
141,Маховиков Василий Петрович,391,7х,4,Маховиков_ВП.,32xOpQhG
142,Шаметова Евгения Вадимовна,463,7а,2,Шаметова_ЕВ.,9reEzLyh
143,Законнова Жанна Евгеньевна,442,11и,None,Законнова_ЖЕ.,xaeBSckB
144,Перчихин Аркадий Тимофеевич,164,10т,3,Перчихин_АТ.,SUzyclp7
145,Бурдасова Ксения Игоревна,203,9а,3,Бурдасова_КИ.,wYj68oYJ
146,Киссин Степан Иванович,251,7х,5,Киссин_СИ.,4zJZXAP7
147,Вапилина Мария Егоровна,77,7д,2,Вапилина_МЕ.,qaGDXyXS
148,Сигутина Дарья Федоровна,458,7б,2,Сигутина_ДФ.,ArdB4ciw
149,Сошьяков Альберт Фёдорович,17,7т,4,Сошьяков_АФ.,jEN9i8iM
150,Лугахина Клара Вадимовна,419,8в,4,Лугахина_КВ.,ZNnDCLdW
151,Логецкий Анатолий Виталиевич,372,11б,4,Логецкий_АВ.,RmpduT9h
152,Ковайкова Юлия Егоровна,75,10г,2,Ковайкова_ЮЕ.,WQ8FN0TJ
153,Вермутский Валерий Петрович,447,9и,5,Вермутский_ВП.,blXVXRgV
154,Россомахов Олег Юриевич,56,8в,2,Россомахов_ОЮ.,T7x6z4Kg
155,Циплакова Екатерина Егоровна,471,9б,5,Циплакова_ЕЕ.,OkNy2dPL
156,Квятцева Алла Никитична,138,11в,2,Квятцева_АН.,MYyhAfd3
157,Выхухолева Лариса Василевна,384,8б,5,Выхухолева_ЛВ.,d0uIgPVL
158,Целохов Андрей Вадимович,433,8и,5,Целохов_АВ.,c0C9ryDx
159,Бендин Иван Яковлевич,71,8и,4,Бендин_ИЯ.,Exo2AKP2
160,Лазученков Василий Алексеевич,381,7х,2,Лазученков_ВА.,nuc5D8HH
161,Скоропухов Михаил Василиевич,69,10и,3,Скоропухов_МВ.,TdFxqrEL
162,Мухонкин Тарас Романович,126,9и,4,Мухонкин_ТР.,afhv79yt
163,Камерцев Владимир Кириллович,303,7а,3,Камерцев_ВК.,jCFgTMZj
164,Сандрыкина Анна Олеговна,324,10т,2,Сандрыкина_АО.,t5l70VmN
165,Недбайлов Алексей Денисович,15,7т,2,Недбайлов_АД.,4HGOtjGO
166,Серпков Ярослав Георгиевич,380,10б,4,Серпков_ЯГ.,aCQWPSlc
167,Хатшуклов Аркадий Николаевич,42,11т,4,Хатшуклов_АН.,ykwoRttZ
168,Литвалиева Алиса Егоровна,10,11и,3,Литвалиева_АЕ.,RVD29MwO
169,Енесина Лиза Валерьевна,293,9б,5,Енесина_ЛВ.,KoLxy5W2
170,Пикальков Эдуард Алексиевич,21,8д,5,Пикальков_ЭА.,PvG5mVwc
171,Сачинский Валентин Кириллович,125,10т,2,Сачинский_ВК.,fppP8dos
172,Тарзанова Евгения Аркадьевна,96,9д,2,Тарзанова_ЕА.,j5q3ZpUe
173,Лапундин Юрий Игоревич,267,8и,5,Лапундин_ЮИ.,VUwGmhB1
174,Личева Лиза Михайловна,453,9б,3,Личева_ЛМ.,vnHqC8Nx
175,Смароверов Яков Борисович,131,11в,4,Смароверов_ЯБ.,1njL7lj9
176,Вереина Алла Василевна,295,10и,3,Вереина_АВ.,QQzyRIra
177,Погиблева Дарья Леонидовна,283,9в,5,Погиблева_ДЛ.,FmfB0EoA
178,Байнова Анастасия Вадимовна,363,7б,3,Байнова_АВ.,4Cat1or8
179,Шиловский Вячеслав Максимович,438,9и,4,Шиловский_ВМ.,bsgmdn48
180,Сыждиков Пётр Василиевич,494,11х,5,Сыждиков_ПВ.,B0HPCCK2
181,Каценова Алёна Эдуардовна,165,11т,2,Каценова_АЭ.,wFIzghJz
182,Мужицких Ева Олеговна,348,8х,3,Мужицких_ЕО.,DHabMcDr
183,Плеснецов Степан Юрьевич,22,10а,2,Плеснецов_СЮ.,LesMDqZV
184,Игумнова Алёна Сергеевна,114,9д,4,Игумнова_АС.,kAdq462R
185,Хадаров Владимир Валериевич,278,11т,5,Хадаров_ВВ.,l9Qil7Fm
186,Ступакова Кира Ивановна,421,8и,3,Ступакова_КИ.,t2khTkAI
187,Шоленинов Федор Максимович,286,11т,4,Шоленинов_ФМ.,vztp9obL
188,Гундаров Руслан Николаевич,158,9д,4,Гундаров_РН.,32Ni4Uml
189,Гречишева Марина Андреевна,464,7д,2,Гречишева_МА.,qTXwpOpj
190,Утилова Алена Андреевна,253,11д,3,Утилова_АА.,iDCY3AQT
191,Роткичева Алиса Максимовна,410,10а,4,Роткичева_АМ.,gcwqMDyj
192,Колтышева Марина Вадимовна,87,11г,4,Колтышева_МВ.,AaNT4Gw2
193,Гурычева Лариса Валерьевна,489,9б,2,Гурычева_ЛВ.,HOTa70Cj
194,Горцева Кристина Никитична,246,8и,4,Горцева_КН.,H2jAMpoA
195,Кутурин Геннадий Денисович,197,9в,2,Кутурин_ГД.,UvH1ADk2
196,Стефанков Яков Евгеньевич,318,10г,3,Стефанков_ЯЕ.,Ii7ZF3CO
197,Множина Людмила Василевна,90,8б,2,Множина_ЛВ.,thhP9GNs
198,Семисалов Георгий Иванович,316,9в,3,Семисалов_ГИ.,7DLrUGcw
199,Рогалов Альберт Валериевич,327,9б,2,Рогалов_АВ.,BOYmndbk
200,Черетаева Анастасия Олеговна,341,9б,2,Черетаева_АО.,vBvlLOPQ
201,Радоминова Любовь Игоревна,25,9и,5,Радоминова_ЛИ.,R01f65Ob
202,Шувырина Лиза Андреевна,395,9а,5,Шувырина_ЛА.,7ZZ7B1cl
203,Калиженков Семён Алексеевич,401,11а,4,Калиженков_СА.,GLSVTTv5
204,Старокашин Константин Петрович,309,10а,3,Старокашин_КП.,tcRQxGJ3
205,Малтоцов Аркадий Яковлевич,218,8а,3,Малтоцов_АЯ.,WaG58PSw
206,Кузеванова Ева Егоровна,116,7д,2,Кузеванова_ЕЕ.,VeDy3pR6
207,Нурулина Алёна Егоровна,284,9х,2,Нурулина_АЕ.,INRLSWoG
208,Лератов Герасим Сергеевич,374,10а,4,Лератов_ГС.,9B79eMel
209,Людин Руслан Аркадиевич,498,7и,3,Людин_РА.,7UfkAP6Q
210,Пурин Виктор Данилович,154,8и,5,Пурин_ВД.,1xznWaOa
211,Лютов Виктор Юрьевич,288,11г,2,Лютов_ВЮ.,PrZuAzzg
212,Марюшкина Яна Федоровна,345,10д,5,Марюшкина_ЯФ.,MUXQY3Ly
213,Томилова Кристина Михайловна,492,11б,3,Томилова_КМ.,DOLQTb3w
214,Дистерев Валерий Валериевич,24,7г,3,Дистерев_ВВ.,vy9YplWG
215,Дочкин Геннадий Алексиевич,52,11и,5,Дочкин_ГА.,IFbPlxIE
216,Иняхин Руслан Сергеевич,234,7и,5,Иняхин_РС.,qUDwg9zb
217,Знайкова Раиса Егоровна,148,11х,3,Знайкова_РЕ.,kNclDhX3
218,Кашавцев Аркадий Леонидович,58,7а,4,Кашавцев_АЛ.,8tBPf2mJ
219,Пятернина Кристина Андреевна,445,7и,2,Пятернина_КА.,EnLL9DZ9
220,Гусеева Карина Викторовна,263,9и,2,Гусеева_КВ.,DPJQKgGz
221,Кастева Яна Сергеевна,108,7и,2,Кастева_ЯС.,jA3Xq4aF
222,Гришанин Тарас Павлович,113,10т,2,Гришанин_ТП.,y6NBqXCe
223,Грамоткин Илья Викторович,195,8д,5,Грамоткин_ИВ.,U6VCBfPh
224,Мелисин Геннадий Василиевич,465,10г,2,Мелисин_ГВ.,utFV81tL
225,Цинина Светлана Яковлевна,105,11г,5,Цинина_СЯ.,VLCGu4mH
226,Петов Георгий Адамович,57,9а,2,Петов_ГА.,cxetzTT5
227,Реева Валентина Максимовна,146,11и,5,Реева_ВМ.,kYRPZhBU
228,Слесивых Мария Аркадьевна,35,7и,5,Слесивых_МА.,2CfjLBfZ
229,Афтаева Полина Ивановна,193,10д,5,Афтаева_ПИ.,RmP9SYIr
230,Кривицкий Валентин Виталиевич,208,8х,5,Кривицкий_ВВ.,GmNKdBxs
231,Чубатов Константин Леонидович,279,11а,4,Чубатов_КЛ.,mcPNpDvb
232,Партенков Геннадий Павлович,418,8х,3,Партенков_ГП.,jeEXAlOz
233,Черушев Григорий Борисович,84,7г,4,Черушев_ГБ.,sjIAkVQD
234,Тютекин Георгий Тимофеевич,262,7а,2,Тютекин_ГТ.,vGsy0OYB
235,Янкевский Вячеслав Адамович,167,11г,4,Янкевский_ВА.,FswUOb4q
236,Сухручкина Клавдия Аркадьевна,177,7в,4,Сухручкина_КА.,dn4HLxKP
237,Конофалова Клара Петровна,95,11д,5,Конофалова_КП.,q2UiKMxg
238,Лигасов Михаил Павлович,491,11г,4,Лигасов_МП.,i3fZnx96
239,Писарьков Альберт Игоревич,313,8в,4,Писарьков_АИ.,iKVuh9wu
240,Варов Кирилл Иванович,28,8а,5,Варов_КИ.,Tz3uPOni
241,Пурынов Евгений Петрович,244,9и,3,Пурынов_ЕП.,Rs8ZnRsd
242,Супрутская Вероника Викторовна,187,9а,2,Супрутская_ВВ.,1HhIMSYI
243,Скроцкая Алина Федоровна,127,8г,3,Скроцкая_АФ.,1xcTjdYj
244,Барадулин Вадим Юрьевич,281,11х,3,Барадулин_ВЮ.,rUJ7GFIx
245,Точилин Дмитрий Фёдорович,476,8а,2,Точилин_ДФ.,ssO3GrHX
246,Бикмуллин Руслан Валериевич,333,11т,2,Бикмуллин_РВ.,c4006Izh
247,Серпичев Василий Алексиевич,394,10х,5,Серпичев_ВА.,VBuLBO7i
248,Вострышев Яков Аркадиевич,343,8г,5,Вострышев_ЯА.,KXyKezFI
249,Грушчева София Евгеньевна,480,11в,None,Грушчева_СЕ.,O66y5LMv
250,Кулапов Александр Юрьевич,109,9б,5,Кулапов_АЮ.,xhe7nurd
251,Чибисенков Владислав Фёдорович,375,8х,3,Чибисенков_ВФ.,zEgErktg
252,Утилов Роман Василиевич,254,9х,2,Утилов_РВ.,RxAoZdAS
253,Татаурова Галина Федоровна,145,10т,4,Татаурова_ГФ.,V8UN2iV7
254,Визавитина Наталия Леонидовна,101,10г,2,Визавитина_НЛ.,U6C8xTFs
255,Мягченков Артём Денисович,115,7б,4,Мягченков_АД.,ylmT75vP
256,Брикова Инна Богдановна,256,9б,4,Брикова_ИБ.,wuDZ7wMM
257,Наторкин Валентин Данилович,319,7и,2,Наторкин_ВД.,EqIwhA3t
258,Эштрекова Софья Алексеевна,76,9в,3,Эштрекова_СА.,G5uaWlw3
259,Кутаманова Кира Андреевна,182,10т,2,Кутаманова_КА.,OHjsP684
260,Кыштымова Евгения Эдуардовна,255,8в,5,Кыштымова_ЕЭ.,iUKM59z5
261,Ккнязева Клавдия Дмитриевна,34,7б,5,Ккнязева_КД.,rln4qzQW
262,Глаголина Алиса Никитична,249,9д,2,Глаголина_АН.,r61tlOLm
263,Рисина Раиса Валерьевна,451,10а,4,Рисина_РВ.,WJ9QCmNP
264,Ребров Алексей Георгиевич,289,8и,3,Ребров_АГ.,9Wn7ILsk
265,Вырысалова Александра Евгеньевна,39,11и,2,Вырысалова_АЕ.,uqwdqk5L
266,Гомольский Владимир Юриевич,314,11х,5,Гомольский_ВЮ.,dSiipFZo
267,Швинова Марина Федоровна,271,8г,5,Швинова_МФ.,2hHllMsW
268,Рудковская Инна Дмитриевна,6,7т,3,Рудковская_ИД.,78p4UoFe
269,Решеткина Дарья Василевна,408,10и,3,Решеткина_ДВ.,VWJUL1c9
270,Евстихеев Игорь Василиевич,422,10х,5,Евстихеев_ИВ.,FM8FJWri
271,Лазарина Алёна Федоровна,161,8б,3,Лазарина_АФ.,tcFtWvLd
272,Гляченков Григорий Николаевич,431,10а,5,Гляченков_ГН.,fVkn5OEk
273,Чардынцева Алина Вадимовна,135,10д,3,Чардынцева_АВ.,r9uF2xPR
274,Скаредов Яков Иванович,337,9т,5,Скаредов_ЯИ.,LpUP6gUq
275,Юрицкий Эдуард Денисович,192,7д,3,Юрицкий_ЭД.,ydx9GWkf
276,Кравчина Светлана Аркадьевна,413,11г,5,Кравчина_СА.,hBYiTAmi
277,Чмареткова Полина Вадимовна,449,10а,2,Чмареткова_ПВ.,3qVliS2Q
278,Углова Галина Романовна,260,9г,3,Углова_ГР.,PzHiGMyq
279,Згуровская Виктория Андреевна,220,9т,4,Згуровская_ВА.,WlIx1Un2
280,Секерский Станислав Сергеевич,235,10а,4,Секерский_СС.,DlWL757V
281,Жевайкин Евгений Адамович,86,11г,3,Жевайкин_ЕА.,SnTHvGMe
282,Коточигов Семён Игоревич,26,9д,5,Коточигов_СИ.,XIkNxYKF
283,Калонин Альберт Денисович,297,8б,2,Калонин_АД.,lHVt0xgF
284,Валягин Григорий Антонович,94,10в,4,Валягин_ГА.,AitTy5Qy
285,Коцева Кристина Николаевна,412,9г,3,Коцева_КН.,srzlp9Em
286,Голина Кристина Максимовна,3,7х,3,Голина_КМ.,XQfN7gdt
287,Батрамеев Анатолий Романович,354,9х,3,Батрамеев_АР.,KZAJgNi0
288,Чикмарев Валентин Валериевич,306,9и,5,Чикмарев_ВВ.,FoDkjkRU
289,Киницына Валерия Олеговна,202,7х,4,Киницына_ВО.,tzWZnuUw
290,Числин Юрий Денисович,121,7в,2,Числин_ЮД.,TWCw0CRZ
291,Стебунова Юлия Романовна,358,9т,3,Стебунова_ЮР.,RYCnSLbZ
292,Кацов Павел Павлович,236,10г,5,Кацов_ПП.,uhxfBODI
293,Гоцев Тарас Викторович,41,8в,3,Гоцев_ТВ.,f9b07Rwu
294,Мотовицкий Роман Аркадиевич,31,11и,5,Мотовицкий_РА.,vTS7P4Ce
295,Чурзина Клара Егоровна,308,10б,3,Чурзина_КЕ.,S3L56gU8
296,Щепалкина Валерия Сергеевна,134,9б,4,Щепалкина_ВС.,L4BHbFYS
297,Утимишев Ярослав Игоревич,239,11а,3,Утимишев_ЯИ.,QtQ8wZCu
298,Алуханов Кирилл Фёдорович,298,7т,2,Алуханов_КФ.,PU4DWapt
299,Полунеев Валентин Валериевич,307,8и,2,Полунеев_ВВ.,0yrU3qaF
300,Крупенова Наталия Андреевна,209,7в,5,Крупенова_НА.,wxURibD6
301,Корнюшин Илья Юрьевич,44,10т,3,Корнюшин_ИЮ.,QNMQKkY7
302,Паушева Виолетта Никитична,310,8г,4,Паушева_ВН.,PjBjCSJV
303,Берзин Герасим Антонович,349,11т,5,Берзин_ГА.,aNmRhr1X
304,Шулунова Алла Алексеевна,54,7д,4,Шулунова_АА.,ZgC4TSWk
305,Трепашова София Яковлевна,399,11а,2,Трепашова_СЯ.,SqXCkbSb
306,Чумейкин Константин Антонович,8,8б,5,Чумейкин_КА.,z4AKzt2X
307,Польшиков Денис Игоревич,495,9и,2,Польшиков_ДИ.,l2Rx4wsM
308,Медоусова Жанна Романовна,252,7б,2,Медоусова_ЖР.,onMJ2F8M
309,Акуратова Клавдия Андреевна,92,9г,5,Акуратова_КА.,fEa63SR6
310,Курмеева Елизавета Валерьевна,486,8а,5,Курмеева_ЕВ.,i4gZE2H0
311,Бадов Александр Аркадиевич,217,10г,3,Бадов_АА.,Wc5XDUPg
312,Бакушин Эдуард Адамович,265,7б,5,Бакушин_ЭА.,zezg7BBG
313,Чебина Инна Сергеевна,273,10т,2,Чебина_ИС.,5afYUP4y
314,Подледнова Наталья Ивановна,112,11и,3,Подледнова_НИ.,4wzHcYTg
315,Садгеева Лиза Евгеньевна,460,11г,3,Садгеева_ЛЕ.,TCP8WC55
